priority,club,league,issue,player,age,market_value_eur,tbg_rating,expected_rating,gap,transfermarkt_player_id
"medium","Real Madrid","LaLiga","rating_sanity","Kylian Mbappé","27","180000000","99","95","4","342229"
"medium","Bayern Munich","Bundesliga","rating_sanity","Harry Kane","32","60000000","96","91","5","132098"
"medium","Manchester City","Premier League","rating_sanity","Rodrigo Hernández Cascante","30","50000000","96","91","5","357565"
"medium","FC Barcelona","LaLiga","rating_sanity","Frenkie de Jong","29","35000000","93","89","4","326330"
"medium","Bayern Munich","Bundesliga","rating_sanity","Joshua Kimmich","31","35000000","94","89","5","161056"
"medium","Manchester United","Premier League","rating_sanity","Bruno Fernandes","31","35000000","94","89","5","240306"
"medium","Bayern Munich","Bundesliga","rating_sanity","Jonathan Tah","30","28000000","92","87","5","196357"
"medium","Paris Saint-Germain","Ligue 1","rating_sanity","Marcos Aoás Corrêa","32","28000000","94","87","7","181767"
"medium","Al-Nassr FC","Saudi Pro League","rating_sanity","João Félix","26","28000000","91","87","4","462250"
"medium","Real Madrid","LaLiga","rating_sanity","Denzel Dumfries","30","25000000","91","87","4","321528"
"medium","Arsenal FC","Premier League","rating_sanity","Mikel Merino","30","25000000","92","87","5","338424"
"medium","Manchester United","Premier League","rating_sanity","Mason Mount","27","25000000","91","87","4","346483"
"medium","AC Milan","Serie A","rating_sanity","Christopher Nkunku","28","25000000","91","87","4","344381"
"medium","AS Monaco","Ligue 1","rating_sanity","Denis Zakaria","29","25000000","91","87","4","334526"
"medium","Aston Villa","Premier League","rating_sanity","Ollie Watkins","30","25000000","91","87","4","324358"
"medium","Real Sociedad","LaLiga","rating_sanity","Mikel Oyarzabal","29","25000000","91","87","4","351478"
"medium","Al-Hilal SFC","Saudi Pro League","rating_sanity","Rúben Neves","29","25000000","91","87","4","225161"
"medium","Real Madrid","LaLiga","rating_sanity","Bernardo Silva","31","22000000","94","87","7","241641"
"medium","Crystal Palace","Premier League","rating_sanity","Daniel Muñoz","30","22000000","91","87","4","493003"
"medium","Athletic Bilbao","LaLiga","rating_sanity","Unai Simón","29","22000000","91","87","4","262396"
"medium","Manchester City","Premier League","rating_sanity","Jack Grealish","30","20000000","92","87","5","203460"
"medium","Bayern Munich","Bundesliga","rating_sanity","Min-jae Kim","29","20000000","91","87","4","503482"
"medium","AC Milan","Serie A","rating_sanity","Mike Maignan","31","20000000","92","87","5","182906"
"medium","Atlético de Madrid","LaLiga","rating_sanity","Marcos Llorente","31","20000000","92","87","5","282411"
"medium","Atlético de Madrid","LaLiga","rating_sanity","Alejandro Grimaldo","30","20000000","91","87","4","193082"
"medium","Tottenham Hotspur","Premier League","rating_sanity","Rodrigo Bentancur","29","20000000","91","87","4","354362"
"medium","Galatasaray","Süper Lig","rating_sanity","Leroy Sané","30","20000000","92","87","5","192565"
"medium","Bayern Munich","Bundesliga","rating_sanity","Serge Gnabry","30","18000000","91","87","4","159471"
"medium","Paris Saint-Germain","Ligue 1","rating_sanity","Lucas Hernández","30","18000000","91","87","4","281963"
"medium","AC Milan","Serie A","rating_sanity","Adrien Rabiot","31","18000000","91","87","4","182913"
"medium","Brighton & Hove Albion","Premier League","rating_sanity","Zadok Yohanna","19","18000000","82","87","-5","1421433"
"medium","Inter Milan","Serie A","rating_sanity","Manuel Akanji","30","17000000","91","87","4","284730"
"medium","Inter Milan","Serie A","rating_sanity","Hakan Çalhanoğlu","32","16000000","92","87","5","126414"
"medium","Galatasaray","Süper Lig","rating_sanity","Davinson Sánchez","30","16000000","91","87","4","341429"
"medium","Real Madrid","LaLiga","rating_sanity","Thibaut Courtois","34","15000000","93","87","6","108390"
"medium","Liverpool FC","Premier League","rating_sanity","Virgil van Dijk","35","15000000","94","87","7","139208"
"medium","Liverpool FC","Premier League","rating_sanity","Alisson Ramses Becker","33","15000000","93","87","6","105470"
"medium","Bayern Munich","Bundesliga","rating_sanity","João Palhinha","31","15000000","91","87","4","257455"
"medium","Atlético de Madrid","LaLiga","rating_sanity","Jan Oblak","33","15000000","93","87","6","121483"
